system:index,CN,X,datetime,map,timestamp,tmean,.geo
0_0000000000000000028c,1.45473E13,25412,2020-12-31 00:00:00,309.2800121307373,1609372800000,7.577500343322754,"{""type"":""Point"",""coordinates"":[-111.11297698862354,39.30260140799198]}"
0_0000000000000000028d,1.45473E13,25414,2020-12-31 00:00:00,408.59802436828613,1609372800000,5.876667022705078,"{""type"":""Point"",""coordinates"":[-111.2925271516416,39.25137525509001]}"
0_0000000000000000028e,1.45473E13,25416,2020-12-31 00:00:00,313.2720127105713,1609372800000,8.395000457763672,"{""type"":""Point"",""coordinates"":[-110.65850095015529,39.25357359190935]}"
0_000000000000000005f4,1.45474E13,47880,2020-12-31 00:00:00,282.8460121154785,1609372800000,7.267500400543213,"{""type"":""Point"",""coordinates"":[-111.28882609776723,38.94072752110064]}"
0_000000000000000005f5,1.45474E13,47881,2020-12-31 00:00:00,234.44100761413574,1609372800000,8.852499961853027,"{""type"":""Point"",""coordinates"":[-110.82105747905865,38.94210984242721]}"
0_000000000000000005f6,1.45474E13,47888,2020-12-31 00:00:00,274.86701583862305,1609372800000,7.87166690826416,"{""type"":""Point"",""coordinates"":[-110.83063116902042,38.805768368617045]}"
0_000000000000000005f7,1.45474E13,47890,2020-12-31 00:00:00,246.1120138168335,1609372800000,8.615833282470703,"{""type"":""Point"",""coordinates"":[-111.00241357800336,38.76216727851645]}"
0_000000000000000005f8,1.45474E13,47891,2020-12-31 00:00:00,258.2800121307373,1609372800000,9.12166690826416,"{""type"":""Point"",""coordinates"":[-110.71030678619424,38.75843055183366]}"
0_000000000000000005f9,1.45475E13,47899,2020-12-31 00:00:00,222.85201168060303,1609372800000,10.165833473205566,"{""type"":""Point"",""coordinates"":[-110.99780732661516,38.580793343167535]}"
0_00000000000000000601,1.45475E13,47946,2020-12-31 00:00:00,251.7220106124878,1609372800000,9.630833625793457,"{""type"":""Point"",""coordinates"":[-110.89304966556654,38.12752572108477]}"
0_00000000000000000638,1.45475E13,48233,2020-12-31 00:00:00,272.034010887146,1609372800000,9.767500877380371,"{""type"":""Point"",""coordinates"":[-111.16996430008659,37.99599561731127]}"
0_0000000000000000063e,1.45476E13,48287,2020-12-31 00:00:00,275.52700996398926,1609372800000,10.326666831970215,"{""type"":""Point"",""coordinates"":[-111.63112007193291,37.767364128997954]}"
0_0000000000000000063f,1.45476E13,48289,2020-12-31 00:00:00,271.1480121612549,1609372800000,10.355834007263184,"{""type"":""Point"",""coordinates"":[-111.04560443080705,37.77015106715635]}"
0_00000000000000000659,1.45476E13,48534,2020-12-31 00:00:00,458.7970209121704,1609372800000,5.9091668128967285,"{""type"":""Point"",""coordinates"":[-112.53783368014058,37.803308942589766]}"
0_0000000000000000065a,1.45476E13,48538,2020-12-31 00:00:00,274.65301418304443,1609372800000,10.720833778381348,"{""type"":""Point"",""coordinates"":[-111.45045959275255,37.812873714349415]}"
0_0000000000000000060b,1.45477E13,47978,2020-12-31 00:00:00,234.07901191711426,1609372800000,10.318333625793457,"{""type"":""Point"",""coordinates"":[-111.0194295076233,37.93288596010185]}"
0_0000000000000000060c,1.45477E13,47983,2020-12-31 00:00:00,438.02001762390137,1609372800000,6.696667194366455,"{""type"":""Point"",""coordinates"":[-109.667804632707,39.386066861510386]}"
0_0000000000000000060d,1.45477E13,47985,2020-12-31 00:00:00,321.16601371765137,1609372800000,10.980834007263184,"{""type"":""Point"",""coordinates"":[-109.32784722749334,39.23688763576735]}"
